model_id,date,quality_score,cost_per_1k_queries,quality_per_dollar,speed_per_dollar,price_performance_ratio,elo_benchmark_blend
gpt-4o,2025-08-18,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-08-25,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-09-01,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-09-08,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-09-15,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-09-22,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-09-29,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-10-06,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-10-13,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-10-20,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-10-27,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-11-03,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-11-10,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-11-17,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-11-24,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-12-01,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-12-08,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-12-15,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-12-22,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-12-29,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-01-05,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-01-12,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-01-19,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-01-26,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-02-02,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-02-09,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-02-16,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-02-23,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-03-02,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-03-09,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-03-16,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-03-23,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-03-30,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-04-06,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-04-13,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-04-20,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-04-27,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-05-04,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-05-11,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-05-18,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-05-25,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-06-01,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-06-08,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-06-15,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-06-22,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-06-29,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-07-06,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-07-13,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2026-07-20,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o-2024-05-13,2024-06-03,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-06-10,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-06-17,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-06-24,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-07-01,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-07-08,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-07-15,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-07-22,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-07-29,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-08-05,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-08-12,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-08-19,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-08-26,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-09-02,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-09-09,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-09-16,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-09-23,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-09-30,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-10-07,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-10-14,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-10-21,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-10-28,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-11-04,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-11-11,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-11-18,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-11-25,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-12-02,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-12-09,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-12-16,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-12-23,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2024-12-30,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-01-06,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-01-13,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-01-20,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-01-27,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-02-03,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-02-10,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-02-17,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-02-24,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-03-03,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-03-10,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-03-17,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-03-24,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-03-31,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-04-07,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-04-14,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-04-21,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-04-28,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-05-05,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-05-12,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-05-19,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-05-26,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-06-02,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-06-09,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-06-16,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-06-23,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-06-30,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-07-07,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-07-14,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-07-21,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-07-28,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-08-04,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-08-11,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-08-18,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-08-25,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-09-01,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-09-08,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-09-15,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-09-22,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-09-29,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-10-06,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-10-13,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-10-20,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-10-27,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-11-03,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-11-10,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-11-17,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-11-24,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-12-01,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-12-08,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-12-15,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-12-22,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2025-12-29,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-01-05,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-01-12,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-01-19,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-01-26,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-02-02,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-02-09,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-02-16,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-02-23,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-03-02,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-03-09,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-03-16,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-03-23,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-03-30,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-04-06,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-04-13,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-04-20,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-04-27,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-05-04,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-05-11,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-05-18,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-05-25,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-06-01,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-06-08,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-06-15,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-06-22,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-06-29,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-07-06,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-07-13,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-05-13,2026-07-20,53.29,2.6280,20.2778,26.2557,41.0339,0.6095
gpt-4o-2024-08-06,2024-08-12,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-08-19,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-08-26,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-09-02,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-09-09,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-09-16,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-09-23,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-09-30,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-10-07,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-10-14,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-10-21,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-10-28,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-11-04,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-11-11,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-11-18,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-11-25,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-12-02,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-12-09,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-12-16,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-12-23,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2024-12-30,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-01-06,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-01-13,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-01-20,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-01-27,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-02-03,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-02-10,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-02-17,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-02-24,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-03-03,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-03-10,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-03-17,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-03-24,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-03-31,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-04-07,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-04-14,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-04-21,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-04-28,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-05-05,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-05-12,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-05-19,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-05-26,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-06-02,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-06-09,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-06-16,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-06-23,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-06-30,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-07-07,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-07-14,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-07-21,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-07-28,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-08-04,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-08-11,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-08-18,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-08-25,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-09-01,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-09-08,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-09-15,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-09-22,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-09-29,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-10-06,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-10-13,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-10-20,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-10-27,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-11-03,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-11-10,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-11-17,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-11-24,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
gpt-4o-2024-08-06,2025-12-01,50.41,1.6560,30.4408,41.0628,51.0832,0.7081
